name,display_name,display_name_long,code,city,country,code,region
"West Kootenay Regional Airport","West Kootenay Regional Airport (YCG)","Castlegar, Canadá, West Kootenay Regional Airport (YCG)","YCG","Castlegar","Canadá","YCG",""
"Castres-Mazamet","Castres-Mazamet (DCM)","Castres, Francia, Castres-Mazamet (DCM)","DCM","Castres","Francia","DCM",""
"Coronel Felipe Varela","Coronel Felipe Varela (CTC)","Catamarca, Argentina, Coronel Felipe Varela (CTC)","CTC","Catamarca","Argentina","CTC",""
"Fontanarossa Vincenzo Bellini","Fontanarossa Vincenzo Bellini (CTA)","Catania, Italia, Fontanarossa Vincenzo Bellini (CTA)","CTA","Catania","Italia","CTA",""
"Catumbela Airport","Catumbela Airport (CBT)","Catumbela,  Angola, Catumbela Airport (CBT)","CBT","Catumbela"," Angola","CBT",""
"Hugo Cantergiani","Hugo Cantergiani (CXJ)","Caxias do Sul, Brasil, Hugo Cantergiani (CXJ)","CXJ","Caxias do Sul","Brasil","CXJ","Río Grande del Sur"
"CCI Guyane","CCI Guyane (CAY)","Cayena, Guayana Francesa, CCI Guyane (CAY)","CAY","Cayena","Guayana Francesa","CAY",""
"Jardines del Rey Airport","Jardines del Rey Airport (CCC)","Cayo Coco, Cuba, Jardines del Rey Airport (CCC)","CCC","Cayo Coco","Cuba","CCC",""
"Vilo Acuña Airport#","Vilo Acuña Airport# (CYO)","Cayo Largo del Sur, Cuba, Vilo Acuña Airport# (CYO)","CYO","Cayo Largo del Sur","Cuba","CYO",""
"Mactan-Cebu","Mactan-Cebu (CEB)","Cebú, Filipinas, Mactan-Cebu (CEB)","CEB","Cebú","Filipinas","CEB",""
"Cedar City Regional","Cedar City Regional (CDC)","Cedar City, Estados Unidos, Cedar City Regional (CDC)","CDC","Cedar City","Estados Unidos","CDC",""
"Cedar Rapids Eastern Iowa","Cedar Rapids Eastern Iowa (CID)","Cedar Rapids, Estados Unidos, Cedar Rapids Eastern Iowa (CID)","CID","Cedar Rapids","Estados Unidos","CID",""
"Changsha Huanghua","Changsha Huanghua (CSX)","Changshá, China, Changsha Huanghua (CSX)","CSX","Changshá","China","CSX",""
"Serafin Enoss Bertaso","Serafin Enoss Bertaso (XAP)","Chapecó, Brasil, Serafin Enoss Bertaso (XAP)","XAP","Chapecó","Brasil","XAP","Santa Catarina"
"Charleston","Charleston (CHS)","Charleston, Estados Unidos, Charleston (CHS)","CHS","Charleston","Estados Unidos","CHS",""
"Charleston Yeager","Charleston Yeager (CRW)","Charleston, Estados Unidos, Charleston Yeager (CRW)","CRW","Charleston","Estados Unidos","CRW",""
"Charlottesville-Albemarle","Charlottesville-Albemarle (CHO)","Charlottesville, Estados Unidos, Charlottesville-Albemarle (CHO)","CHO","Charlottesville","Estados Unidos","CHO",""
"Charlottetown Airport","Charlottetown Airport (YYG)","Charlottetown, Canadá, Charlottetown Airport (YYG)","YYG","Charlottetown","Canadá","YYG",""
"Charlotte/Douglas","Charlotte/Douglas (CLT)","Charlottle, Estados Unidos, Charlotte/Douglas (CLT)","CLT","Charlottle","Estados Unidos","CLT",""
"Chattanooga Lovell Field","Chattanooga Lovell Field (CHA)","Chattanooga, Estados Unidos, Chattanooga Lovell Field (CHA)","CHA","Chattanooga","Estados Unidos","CHA",""
"ChengduShuangliu","ChengduShuangliu (CTU)","Chengdú, China, ChengduShuangliu (CTU)","CTU","Chengdú","China","CTU",""
"Cheongju","Cheongju (CJJ)","Cheongju/Daejeon, Corea del Sur, Cheongju (CJJ)","CJJ","Cheongju/Daejeon","Corea del Sur","CJJ",""
"Chiang Mai","Chiang Mai (CNX)","Chiang Mai, Tailandia, Chiang Mai (CNX)","CNX","Chiang Mai","Tailandia","CNX",""
"Chicago Midway","Chicago Midway (MDW)","Chicago, Estados Unidos, Chicago Midway (MDW)","MDW","Chicago","Estados Unidos","MDW",""
"Chicago O'Hare","Chicago O'Hare (ORD)","Chicago, Estados Unidos, Chicago O'Hare (ORD)","ORD","Chicago","Estados Unidos","ORD",""
"Todos los Aeropuertos","Todos los Aeropuertos (CHI)","Chicago, Estados Unidos, Todos los Aeropuertos (CHI)","CHI","Chicago","Estados Unidos","CHI",""
"Aeropuerto Internacional de Capitán FAP José A. Quiñones","Aeropuerto Internacional de Capitán FAP José A. Quiñones (CIX)","Chiclayo, Perú, Aeropuerto Internacional de Capitán FAP José A. Quiñones (CIX)","CIX","Chiclayo","Perú","CIX",""
"General Roberto Fierro Villalobos","General Roberto Fierro Villalobos (CUU)","Chihuahua, México, General Roberto Fierro Villalobos (CUU)","CUU","Chihuahua","México","CUU",""
"ChongqingJiangbei","ChongqingJiangbei (CKG)","Chongqing, China, ChongqingJiangbei (CKG)","CKG","Chongqing","China","CKG",""
"Cincinnati Northern Jentucky","Cincinnati Northern Jentucky (CVG)","Cincinatti, Estados Unidos, Cincinnati Northern Jentucky (CVG)","CVG","Cincinatti","Estados Unidos","CVG",""
"Belice City Goldson","Belice City Goldson (BZE)","Ciudad de Belice, Belice, Belice City Goldson (BZE)","BZE","Ciudad de Belice","Belice","BZE",""
"Benito Juárez","Benito Juárez (MEX)","Ciudad de México, México, Benito Juárez (MEX)","MEX","Ciudad de México","México","MEX",""
"Cape Town","Cape Town (CPT)","Ciudad del Cabo, Sudáfrica, Cape Town (CPT)","CPT","Ciudad del Cabo","Sudáfrica","CPT",""
"Ciudad del Carmen","Ciudad del Carmen (CME)","Ciudad del Carmen, México, Ciudad del Carmen (CME)","CME","Ciudad del Carmen","México","CME",""
"Ciudad del Este","Ciudad del Este (AGT)","Ciudad Del Este, Paraguay, Ciudad del Este (AGT)","AGT","Ciudad Del Este","Paraguay","AGT",""
"Sun city","Sun city (NTY)","Ciudad del Sol, Sudáfrica, Sun city (NTY)","NTY","Ciudad del Sol","Sudáfrica","NTY",""
"Abraham González","Abraham González (CJS)","Ciudad Juárez, México, Abraham González (CJS)","CJS","Ciudad Juárez","México","CJS",""
"Ciudad Obregón","Ciudad Obregón (CEN)","Ciudad Obregón, México, Ciudad Obregón (CEN)","CEN","Ciudad Obregón","México","CEN",""
"Clermont-Ferrand Auvergne Airport","Clermont-Ferrand Auvergne Airport (CFE)","Clermont-Ferrand, Francia, Clermont-Ferrand Auvergne Airport (CFE)","CFE","Clermont-Ferrand","Francia","CFE","Clermont-Ferrand"
"Cleveland Hopkins","Cleveland Hopkins (CLE)","Cleveland, Estados Unidos, Cleveland Hopkins (CLE)","CLE","Cleveland","Estados Unidos","CLE",""
"Cluj Napoca","Cluj Napoca (CLJ)","Cluj Napoca, Romania, Cluj Napoca (CLJ)","CLJ","Cluj Napoca","Romania","CLJ",""
"Coari","Coari (CIZ)","Coari, Brasil, Coari (CIZ)","CIZ","Coari","Brasil","CIZ","Amazonas"
"Heroes Del Acre","Heroes Del Acre (CIJ)","Cobija, Bolivia, Heroes Del Acre (CIJ)","CIJ","Cobija","Bolivia","CIJ",""
"Jorge Wilsterman","Jorge Wilsterman (CBB)","Cochabamba, Bolivia, Jorge Wilsterman (CBB)","CBB","Cochabamba","Bolivia","CBB",""
"Cochin","Cochin (COK)","Cochín, India, Cochin (COK)","COK","Cochín","India","COK",""
"Yellowstone Regional","Yellowstone Regional (COD)","Cody, Estados Unidos, Yellowstone Regional (COD)","COD","Cody","Estados Unidos","COD",""
"Bandaranaike","Bandaranaike (CMB)","Colombo, Sri Lanka, Bandaranaike (CMB)","CMB","Colombo","Sri Lanka","CMB",""
"DerKoln Bonn","DerKoln Bonn (CGN)","Colonia, Alemania, DerKoln Bonn (CGN)","CGN","Colonia","Alemania","CGN",""
"Colorado Springs Peterson Field","Colorado Springs Peterson Field (COS)","Colorado Springs, Estados Unidos, Colorado Springs Peterson Field (COS)","COS","Colorado Springs","Estados Unidos","COS",""
"Columbia Metropolitan","Columbia Metropolitan (CAE)","Columbia, Estados Unidos, Columbia Metropolitan (CAE)","CAE","Columbia","Estados Unidos","CAE",""
"Columbia Regional","Columbia Regional (COU)","Columbia, Estados Unidos, Columbia Regional (COU)","COU","Columbia","Estados Unidos","COU",""
"Columbus Golden Triangle Regional","Columbus Golden Triangle Regional (GTR)","Columbus, Estados Unidos, Columbus Golden Triangle Regional (GTR)","GTR","Columbus","Estados Unidos","GTR",""
"Columbus Metropolitan","Columbus Metropolitan (CSG)","Columbus, Estados Unidos, Columbus Metropolitan (CSG)","CSG","Columbus","Estados Unidos","CSG",""
"Port Columbus","Port Columbus (CMH)","Columbus, Estados Unidos, Port Columbus (CMH)","CMH","Columbus","Estados Unidos","CMH",""
"Airport (Aerodrome, Airfield)","Airport (Aerodrome, Airfield) (XPL)","Comayagua, Honduras, Airport (Aerodrome, Airfield) (XPL)","XPL","Comayagua","Honduras","XPL","Comayagua"
"Aeropuerto Comiso","Aeropuerto Comiso (CIY)","Comiso, Italia, Aeropuerto Comiso (CIY)","CIY","Comiso","Italia","CIY",""
"General Enrique Mosconi","General Enrique Mosconi (CRD)","Comodoro Rivadavia, Argentina, General Enrique Mosconi (CRD)","CRD","Comodoro Rivadavia","Argentina","CRD",""
"Conakry","Conakry (CKY)","Conacri, Guinea-Bisáu, Conakry (CKY)","CKY","Conacri","Guinea-Bisáu","CKY",""
"Carriel Sur Intl","Carriel Sur Intl (CCP)","Concepcion, Chile, Carriel Sur Intl (CCP)","CCP","Concepcion","Chile","CCP",""
"Copenhagen","Copenhagen (CPH)","Copenhague, Dinamarca, Copenhagen (CPH)","CPH","Copenhague","Dinamarca","CPH",""
"Copiapo","Copiapo (CPO)","Copiapo, Chile, Copiapo (CPO)","CPO","Copiapo","Chile","CPO",""
"Ingeniero Aeronáutico Ambrosio L.V. Taravella","Ingeniero Aeronáutico Ambrosio L.V. Taravella (COR)","Córdoba, Argentina, Ingeniero Aeronáutico Ambrosio L.V. Taravella (COR)","COR","Córdoba","Argentina","COR",""
"Aeropuerto Ioannis Kapodistrias","Aeropuerto Ioannis Kapodistrias (CFU)","Corfú, Grecia, Aeropuerto Ioannis Kapodistrias (CFU)","CFU","Corfú","Grecia","CFU",""
"Doctor Fernando Piragine Niveyro","Doctor Fernando Piragine Niveyro (CNQ)","Corrientes, Argentina, Doctor Fernando Piragine Niveyro (CNQ)","CNQ","Corrientes","Argentina","CNQ",""
"Cadjehoun","Cadjehoun (COO)","Cotonú, Benín, Cadjehoun (COO)","COO","Cotonú","Benín","COO",""
"Cozumel","Cozumel (CZM)","Cozumel, México, Cozumel (CZM)","CZM","Cozumel","México","CZM",""
"John Paul II","John Paul II (KRK)","Cracovia, Polonia, John Paul II (KRK)","KRK","Cracovia","Polonia","KRK",""
"Cranbrook/Canadian Rockies International Airport","Cranbrook/Canadian Rockies International Airport (YXC)","Cranbrook, Canadá, Cranbrook/Canadian Rockies International Airport (YXC)","YXC","Cranbrook","Canadá","YXC",""
"Crotone/Sant'Anna","Crotone/Sant'Anna (CRV)","Crotona, Italia, Crotone/Sant'Anna (CRV)","CRV","Crotona","Italia","CRV",""
"Cruzeiro do Sul","Cruzeiro do Sul (CZS)","Cruzeiro do Sul, Brasil, Cruzeiro do Sul (CZS)","CZS","Cruzeiro do Sul","Brasil","CZS","Acre"
"Camilo Daza","Camilo Daza (CUC)","Cúcuta, Colombia, Camilo Daza (CUC)","CUC","Cúcuta","Colombia","CUC",""
"Mareachal Rondon","Mareachal Rondon (CGB)","Cuiabá, Brasil, Mareachal Rondon (CGB)","CGB","Cuiabá","Brasil","CGB","Mato Grosso"
"Federal de Bachigualato","Federal de Bachigualato (CUL)","Culiacán, México, Federal de Bachigualato (CUL)","CUL","Culiacán","México","CUL",""
"Willemstad-Hato","Willemstad-Hato (CUR)","Curazao, Curazao, Willemstad-Hato (CUR)","CUR","Curazao","Curazao","CUR",""
"Afonso Pena","Afonso Pena (CWB)","Curitiba, Brasil, Afonso Pena (CWB)","CWB","Curitiba","Brasil","CWB","Paraná"
"Teniente Alejandro Velasco Astete Intl","Teniente Alejandro Velasco Astete Intl (CUZ)","Cusco, Peru, Teniente Alejandro Velasco Astete Intl (CUZ)","CUZ","Cusco","Peru","CUZ","Cusco"
"Aeropuerto Da Nang","Aeropuerto Da Nang (DAD)","Da Nang, Vietnam, Aeropuerto Da Nang (DAD)","DAD","Da Nang","Vietnam","DAD",""
"Hazrat Shahjalal","Hazrat Shahjalal (DAC)","Daca, Bangladés, Hazrat Shahjalal (DAC)","DAC","Daca","Bangladés","DAC",""
"Dakhla","Dakhla (VIL)","Dajla, Marruecos, Dakhla (VIL)","VIL","Dajla","Marruecos","VIL",""
"Dakar Blaise Diagne International Airport","Dakar Blaise Diagne International Airport (DSS)","Dakar, Senegal, Dakar Blaise Diagne International Airport (DSS)","DSS","Dakar","Senegal","DSS","Dakar"
"Leopold Senghor","Leopold Senghor (DKR)","Dakar, Senegal, Leopold Senghor (DKR)","DKR","Dakar","Senegal","DKR",""
"Dalian Zhoushuizi","Dalian Zhoushuizi (DLC)","Dalián, China, Dalian Zhoushuizi (DLC)","DLC","Dalián","China","DLC",""
"Dallas/Fort Worth","Dallas/Fort Worth (DFW)","Dallas, Estados Unidos, Dallas/Fort Worth (DFW)","DFW","Dallas","Estados Unidos","DFW",""
"Dallas/Fort Worth Love Field","Dallas/Fort Worth Love Field (DAL)","Dallas, Estados Unidos, Dallas/Fort Worth Love Field (DAL)","DAL","Dallas","Estados Unidos","DAL",""
"Damascus","Damascus (DAM)","Damasco, Siria, Damascus (DAM)","DAM","Damasco","Siria","DAM",""
"Dammam","Dammam (DMM)","Dammam, Arabia Saudita, Dammam (DMM)","DMM","Dammam","Arabia Saudita","DMM",""
"Julius Nyerere","Julius Nyerere (DAR)","Dar Es Salaam, Tanzania, Julius Nyerere (DAR)","DAR","Dar Es Salaam","Tanzania","DAR",""
"Enrique Malek","Enrique Malek (DAV)","David, Panamá, Enrique Malek (DAV)","DAV","David","Panamá","DAV",""
"Dayton","Dayton (DAY)","Dayton, Estados Unidos, Dayton (DAY)","DAY","Dayton","Estados Unidos","DAY",""
"Daytona Beach","Daytona Beach (DAB)","Daytona Beach, Estados Unidos, Daytona Beach (DAB)","DAB","Daytona Beach","Estados Unidos","DAB",""
"Deer Lake Regional Airport","Deer Lake Regional Airport (YDF)","Deer Lake, Canadá, Deer Lake Regional Airport (YDF)","YDF","Deer Lake","Canadá","YDF",""
"Denver","Denver (DEN)","Denver, Estados Unidos, Denver (DEN)","DEN","Denver","Estados Unidos","DEN",""
"Des Moines","Des Moines (DSM)","Des Moines, Estados Unidos, Des Moines (DSM)","DSM","Des Moines","Estados Unidos","DSM",""
"Detroit Metropolitan Wayne County","Detroit Metropolitan Wayne County (DTW)","Detroit, Estados Unidos, Detroit Metropolitan Wayne County (DTW)","DTW","Detroit","Estados Unidos","DTW",""
"Todos os Aeropuertos","Todos os Aeropuertos (DTT)","Detroit, Estados Unidos, Todos os Aeropuertos (DTT)","DTT","Detroit","Estados Unidos","DTT",""
"Devils Lake Municipal","Devils Lake Municipal (DVL)","Devil´s Lake, Estados Unidos, Devils Lake Municipal (DVL)","DVL","Devil´s Lake","Estados Unidos","DVL",""
"Djibouti-Ambouli","Djibouti-Ambouli (JIB)","Djibouti, Yibuti, Djibouti-Ambouli (JIB)","JIB","Djibouti","Yibuti","JIB",""
"Doha","Doha (DOH)","Doha, Catar, Doha (DOH)","DOH","Doha","Catar","DOH",""
"Melville Hall","Melville Hall (DOM)","Dominica, Dominica, Melville Hall (DOM)","DOM","Dominica","Dominica","DOM",""
"Dothan Regional","Dothan Regional (DHN)","Dothan, Estados Unidos, Dothan Regional (DHN)","DHN","Dothan","Estados Unidos","DHN",""
"Dourados","Dourados (DOU)","Dourados, Brasil, Dourados (DOU)","DOU","Dourados","Brasil","DOU","Mato Grosso do Sul"
"Flughafen Dresden-Klotzsche","Flughafen Dresden-Klotzsche (DRS)","Dresden, Alemania, Flughafen Dresden-Klotzsche (DRS)","DRS","Dresden","Alemania","DRS",""
"Douala","Douala (DLA)","Duala, Camerún, Douala (DLA)","DLA","Duala","Camerún","DLA",""
"Al Maktoum","Al Maktoum (DWC)","Dubái, Emiratos Árabes Unidos, Al Maktoum (DWC)","DWC","Dubái","Emiratos Árabes Unidos","DWC",""
"Todos os  Aeropuertos","Todos os  Aeropuertos (DXB)","Dubai, Emiratos Árabes Unidos, Todos os  Aeropuertos (DXB)","DXB","Dubai","Emiratos Árabes Unidos","DXB",""
"Dublin","Dublin (DUB)","Dublín, Irlanda, Dublin (DUB)","DUB","Dublín","Irlanda","DUB",""
"Aeropuerto Dubrovnik","Aeropuerto Dubrovnik (DBV)","Dubrovnik, Croacia, Aeropuerto Dubrovnik (DBV)","DBV","Dubrovnik","Croacia","DBV",""
"Duluth","Duluth (DLH)","Duluth / Superior, Estados Unidos, Duluth (DLH)","DLH","Duluth / Superior","Estados Unidos","DLH",""
"Dundo Airport","Dundo Airport (DUE)","Dundo,  Angola, Dundo Airport (DUE)","DUE","Dundo"," Angola","DUE",""
"General Guadalupe Victoria","General Guadalupe Victoria (DGO)","Durango, México, General Guadalupe Victoria (DGO)","DGO","Durango","México","DGO",""
"King Shaka","King Shaka (DUR)","Durban, Sudáfrica, King Shaka (DUR)","DUR","Durban","Sudáfrica","DUR",""
"Durham Tees Valley","Durham Tees Valley (MME)","Durham, Reino Unido, Durham Tees Valley (MME)","MME","Durham","Reino Unido","MME",""
"Duesseldorf  Aiport","Duesseldorf  Aiport (DUS)","Düsseldorf​, Alemania, Duesseldorf  Aiport (DUS)","DUS","Düsseldorf​","Alemania","DUS",""
"East london","East london (ELS)","East London, Sudáfrica, East london (ELS)","ELS","East London","Sudáfrica","ELS",""
"Edinburgh","Edinburgh (EDI)","Edimburgo, Escocia, Edinburgh (EDI)","EDI","Edimburgo","Escocia","EDI",""
"Edonton","Edonton (YEG)","Edmonton, Canadá, Edonton (YEG)","YEG","Edmonton","Canadá","YEG",""
"Todos los Aeropuertos","Todos los Aeropuertos (YEA)","Edmonton, Canadá, Todos los Aeropuertos (YEA)","YEA","Edmonton","Canadá","YEA",""
"Eindhoven","Eindhoven (EIN)","Eindhoven, Holanda, Eindhoven (EIN)","EIN","Eindhoven","Holanda","EIN",""
"Eirunepé","Eirunepé (ERN)","Eirunepé, Brasil, Eirunepé (ERN)","ERN","Eirunepé","Brasil","ERN","Amazonas"
"Laayoune","Laayoune (EUN)","El Aaiún, Marruecos, Laayoune (EUN)","EUN","El Aaiún","Marruecos","EUN",""
"Cairo","Cairo (CAI)","El Cairo, Egipto, Cairo (CAI)","CAI","El Cairo","Egipto","CAI",""
"Comandante Armando Tola","Comandante Armando Tola (FTE)","El Calafate, Argentina, Comandante Armando Tola (FTE)","FTE","El Calafate","Argentina","FTE",""
"El Paso","El Paso (ELP)","El Paso, Estados Unidos, El Paso (ELP)","ELP","El Paso","Estados Unidos","ELP",""
"Elko Regional","Elko Regional (EKO)","Elko, Estados Unidos, Elko Regional (EKO)","EKO","Elko","Estados Unidos","EKO",""
"Elmira / Corning Regional","Elmira / Corning Regional (ELM)","Elmira / Corning, Estados Unidos, Elmira / Corning Regional (ELM)","ELM","Elmira / Corning","Estados Unidos","ELM",""
"Entebbe","Entebbe (EBB)","Entebbe, Uganda, Entebbe (EBB)","EBB","Entebbe","Uganda","EBB",""
"Enugu","Enugu (ENU)","Enugu, Nigeria, Enugu (ENU)","ENU","Enugu","Nigeria","ENU",""
"Erbil","Erbil (EBL)","Erbil, Irak, Erbil (EBL)","EBL","Erbil","Irak","EBL",""
"Zvartnots","Zvartnots (EVN)","Ereván, Armenia, Zvartnots (EVN)","EVN","Ereván","Armenia","EVN",""
"Erie","Erie (ERI)","Erie, Estados Unidos, Erie (ERI)","ERI","Erie","Estados Unidos","ERI",""
"Delta County","Delta County (ESC)","Escabana, Estados Unidos, Delta County (ESC)","ESC","Escabana","Estados Unidos","ESC",""
"Brigadier Antonio Parodi","Brigadier Antonio Parodi (EQS)","Esquel, Argentina, Brigadier Antonio Parodi (EQS)","EQS","Esquel","Argentina","EQS",""
"Atatürk","Atatürk (IST)","Estambul, Turquía, Atatürk (IST)","IST","Estambul","Turquía","IST",""
"Sabiha Gokcen","Sabiha Gokcen (SAW)","Estambul, Turquía, Sabiha Gokcen (SAW)","SAW","Estambul","Turquía","SAW",""
"Stockholm Arlanda","Stockholm Arlanda (ARN)","Estocolmo, Suecia, Stockholm Arlanda (ARN)","ARN","Estocolmo","Suecia","ARN",""
"Todos los Aeropuertos","Todos los Aeropuertos (STO)","Estocolmo, Suecia, Todos los Aeropuertos (STO)","STO","Estocolmo","Suecia","STO",""
"Strasbourg","Strasbourg (SXB)","Estrasburgo, Francia, Strasbourg (SXB)","SXB","Estrasburgo","Francia","SXB",""
"Eugene","Eugene (EUG)","Eugene, Estados Unidos, Eugene (EUG)","EUG","Eugene","Estados Unidos","EUG",""
"Evansville Regional","Evansville Regional (EVV)","Evansville, Estados Unidos, Evansville Regional (EVV)","EVV","Evansville","Estados Unidos","EVV",""
"Faisalabad","Faisalabad (LYP)","Faisalabad, Pakistán, Faisalabad (LYP)","LYP","Faisalabad","Pakistán","LYP",""
"Hector","Hector (FAR)","Fargo, Estados Unidos, Hector (FAR)","FAR","Fargo","Estados Unidos","FAR",""
"Faro","Faro (FAO)","Faro, Portugal, Faro (FAO)","FAO","Faro","Portugal","FAO",""
"Fayetteville Municipal","Fayetteville Municipal (FAY)","Fayetteville, Estados Unidos, Fayetteville Municipal (FAY)","FAY","Fayetteville","Estados Unidos","FAY",""
"Fayetteville Northwest Arkansas Regional","Fayetteville Northwest Arkansas Regional (XNA)","Fayetteville, Estados Unidos, Fayetteville Northwest Arkansas Regional (XNA)","XNA","Fayetteville","Estados Unidos","XNA",""
"Fernando de Noronha","Fernando de Noronha (FEN)","Fernando de Noronha, Brasil, Fernando de Noronha (FEN)","FEN","Fernando de Noronha","Brasil","FEN","Pernambuco"
"Fez","Fez (FEZ)","Fez, Marruecos, Fez (FEZ)","FEZ","Fez","Marruecos","FEZ",""
"Figari Sud-Corse","Figari Sud-Corse (FSC)","Figari, Francia, Figari Sud-Corse (FSC)","FSC","Figari","Francia","FSC",""
"Philadelphia","Philadelphia (PHL)","Filadelfia, Estados Unidos, Philadelphia (PHL)","PHL","Filadelfia","Estados Unidos","PHL",""
"Bishop","Bishop (FNT)","Flint, Estados Unidos, Bishop (FNT)","FNT","Flint","Estados Unidos","FNT",""
"Florence Regional","Florence Regional (FLO)","Florence, Estados Unidos, Florence Regional (FLO)","FLO","Florence","Estados Unidos","FLO",""
"Peretola","Peretola (FLR)","Florencia, Italia, Peretola (FLR)","FLR","Florencia","Italia","FLR",""
"Hercílio Luz","Hercílio Luz (FLN)","Florianópolis, Brasil, Hercílio Luz (FLN)","FLN","Florianópolis","Brasil","FLN","Santa Catarina"
"Formosa  (El Pucú )","Formosa  (El Pucú ) (FMA)","Formosa, Argentina, Formosa  (El Pucú ) (FMA)","FMA","Formosa","Argentina","FMA",""
"Martinique Aimé Césaire","Martinique Aimé Césaire (FDF)","Fort de France, Martinica, Martinique Aimé Césaire (FDF)","FDF","Fort de France","Martinica","FDF",""
"Fort Dodge Regional","Fort Dodge Regional (FOD)","Fort Dodge, Estados Unidos, Fort Dodge Regional (FOD)","FOD","Fort Dodge","Estados Unidos","FOD",""
"Fort Lauderdale-Hollywood","Fort Lauderdale-Hollywood (FLL)","Fort Lauderdale, Estados Unidos, Fort Lauderdale-Hollywood (FLL)","FLL","Fort Lauderdale","Estados Unidos","FLL",""
"Fort McMurray Airport","Fort McMurray Airport (YMM)","Fort McMurray, Canadá, Fort McMurray Airport (YMM)","YMM","Fort McMurray","Canadá","YMM",""
"Fort Myers SW Florida","Fort Myers SW Florida (RSW)","Fort Myers, Estados Unidos, Fort Myers SW Florida (RSW)","RSW","Fort Myers","Estados Unidos","RSW",""
"Fort Smith","Fort Smith (FSM)","Fort Smith, Estados Unidos, Fort Smith (FSM)","FSM","Fort Smith","Estados Unidos","FSM",""
"Fort St. John Airport","Fort St. John Airport (YXJ)","Fort St. John, Canadá, Fort St. John Airport (YXJ)","YXJ","Fort St. John","Canadá","YXJ",""
"Fort Wayne Baer Field","Fort Wayne Baer Field (FWA)","Fort Wayne, Estados Unidos, Fort Wayne Baer Field (FWA)","FWA","Fort Wayne","Estados Unidos","FWA",""
"Pinto Martins","Pinto Martins (FOR)","Fortaleza, Brasil, Pinto Martins (FOR)","FOR","Fortaleza","Brasil","FOR","Ceará"
"Cataratas","Cataratas (IGU)","Foz de Iguazú, Brasil, Cataratas (IGU)","IGU","Foz de Iguazú","Brasil","IGU","Paraná"
"Frankfurt","Frankfurt (FRA)","Frankfurt, Alemania, Frankfurt (FRA)","FRA","Frankfurt","Alemania","FRA",""
"Fredericton International Airport","Fredericton International Airport (YFC)","Fredericton, Canadá, Fredericton International Airport (YFC)","YFC","Fredericton","Canadá","YFC",""
"Grand Bahama","Grand Bahama (FPO)","Freeport, Bahamas, Grand Bahama (FPO)","FPO","Freeport","Bahamas","FPO",""
"Lungi","Lungi (FNA)","Freetown, Sierra Leona, Lungi (FNA)","FNA","Freetown","Sierra Leona","FNA",""
"Fresno Yosemite","Fresno Yosemite (FAT)","Fresno, Estados Unidos, Fresno Yosemite (FAT)","FAT","Fresno","Estados Unidos","FAT",""
"Fukuoka","Fukuoka (FUK)","Fukuoka, Japón, Fukuoka (FUK)","FUK","Fukuoka","Japón","FUK",""
"Madeira","Madeira (FNC)","Funchal, Portugal, Madeira (FNC)","FNC","Funchal","Portugal","FNC",""
"Fuerteventura","Fuerteventura (FUE)","Furteventura, Espanha, Fuerteventura (FUE)","FUE","Furteventura","Espanha","FUE",""
"Gaborone","Gaborone (GBE)","Gaborone, Botsuana, Gaborone (GBE)","GBE","Gaborone","Botsuana","GBE",""
"Gainesville Regional","Gainesville Regional (GNV)","Gainesville, Estados Unidos, Gainesville Regional (GNV)","GNV","Gainesville","Estados Unidos","GNV",""
"Gander International Airport","Gander International Airport (YQX)","Gander, Canadá, Gander International Airport (YQX)","YQX","Gander","Canadá","YQX",""
"Garowe International Airport","Garowe International Airport (GGR)","Garowe, Somália, Garowe International Airport (GGR)","GGR","Garowe","Somália","GGR","Nugaal"
"MichelPouliot Gaspé Airport","MichelPouliot Gaspé Airport (YGP)","Gaspe, Canadá, MichelPouliot Gaspé Airport (YGP)","YGP","Gaspe","Canadá","YGP",""
"Gazipasa Alanya Airport","Gazipasa Alanya Airport (GZP)","Gazipasa, Turquia, Gazipasa Alanya Airport (GZP)","GZP","Gazipasa","Turquia","GZP","Antalya"
"Gdańsk Lech Walesa","Gdańsk Lech Walesa (GDN)","Gdansk, Polonia, Gdańsk Lech Walesa (GDN)","GDN","Gdansk","Polonia","GDN",""
"Genoa Cristoforo Colombo","Genoa Cristoforo Colombo (GOA)","Genova, Italia, Genoa Cristoforo Colombo (GOA)","GOA","Genova","Italia","GOA",""
"George","George (GRJ)","George, Sudáfrica, George (GRJ)","GRJ","George","Sudáfrica","GRJ",""
"Exuma","Exuma (GGT)","Georgetown, Bahamas, Exuma (GGT)","GGT","Georgetown","Bahamas","GGT",""
"Aeropuerto Internacional Cheddi Jagan","Aeropuerto Internacional Cheddi Jagan (GEO)","Georgetown, Guyana, Aeropuerto Internacional Cheddi Jagan (GEO)","GEO","Georgetown","Guyana","GEO","Georgetown"
"Gibraltar","Gibraltar (GIB)","Gibraltar, Gibraltar, Gibraltar (GIB)","GIB","Gibraltar","Gibraltar","GIB",""
"Gillette-Campbell County","Gillette-Campbell County (GCC)","Gillete, Estados Unidos, Gillette-Campbell County (GCC)","GCC","Gillete","Estados Unidos","GCC",""
"Cointrin","Cointrin (GVA)","Ginebra, Suiza, Cointrin (GVA)","GVA","Ginebra","Suiza","GVA",""
